train losses      0:	 1.004	0.5468	0.5432	0.5652	0.3354	0.3404	0.7145	0.7535	0.4683	0.4698	 1.562	 1.576	 1.501	 1.497	
val losses        0:	0.6798	0.4716	0.4309	0.4932	 0.335	0.3139	 0.591	0.6624	0.4168	0.4168	 1.589	 1.649	 1.181	 1.182	 | 0.7437 mean
                     	 1.637	 1.266	 1.344	 1.515	0.8496	0.8272	 1.794	 1.911	 1.131	 1.106	  4.55	 4.746	 3.314	 3.146	 | 2.534 quantile
                      	 5.164	 4.797	 5.754	 6.121	 3.084	 3.229	 4.736	 5.843	 3.051	 3.257	 8.524	 8.113	 6.834	 6.555	 | 8.524 max

train losses      5:	0.6196	0.4919	0.3048	0.2881	0.3327	0.3257	0.4178	0.4331	0.4435	0.4493	 1.191	 1.211	 1.296	 1.292	
val losses        5:	0.6372	0.4203	0.2757	0.2649	0.3327	0.3087	0.3937	0.4133	0.4076	0.4054	 1.258	 1.302	 1.204	 1.201	 | 0.6304 mean
                     	 1.517	 1.115	0.7237	0.7036	 0.844	0.8101	 1.082	  1.08	 1.061	 1.057	 3.373	  3.45	 3.139	 3.064	 | 2.135 quantile
                      	 5.049	 3.948	 2.505	 2.073	 3.196	 3.043	 2.827	  3.32	 2.854	 2.713	 6.713	 6.757	 6.118	 6.056	 | 6.757 max

train losses     10:	0.6063	0.4036	0.2686	0.2501	0.3295	0.3202	0.3761	0.3834	0.4283	0.4353	 1.068	 1.085	 1.208	 1.203	
val losses       10:	0.6273	0.3676	0.2446	0.2288	0.3289	 0.303	0.3733	0.3887	0.3927	0.3931	 1.239	 1.274	 1.209	 1.208	 | 0.6127 mean
                     	   1.5	0.9606	0.6595	0.6083	0.8373	0.7883	 1.015	 1.012	  1.04	 1.016	 3.239	 3.278	 3.113	 3.056	 | 2.104 quantile
                      	 5.271	  2.68	 2.456	 2.452	 3.164	 3.036	 2.234	 2.504	 2.709	  2.83	 6.795	 7.062	 6.371	 6.439	 | 7.062 max

